ID,DeviceName,Location
1141,TWHKOBRT,Omiha Beach Reserve - Rocky Bay Toilet
1217,TNMRT,Mangakura Reserve Toilets
1275,TNTHT,Tapapakanga - Hilltop
1281,TNDR1,Te Kuiti Cottage
1629,TNBLC,Beachlands Log Cabin
1750,TNWR10,Whangateau Rainwater Tank (10K)
1919,TWHKOWT,Orapiu Wharf Toilet
1920,TNADP,Arataki Depot Waste Tank
1982,TNKWT,Whakatiwai Tank
11141,TNORP,Omana Regional Park
11261,TNWP,Waharau Regional Park
11586,TTAW3,Tawharanui South
11727,TTAW2,Tawharanui North
11998,TNKBNT,Kawakawa Bay North Toilets
12125,TNPET,Paparimu Emergency Tank
12161,TWHKOSP2,Onetangi Sports Pavilion (Raw)
12248,TWHKACSC,Auckland Council Service Centre
12347,TNMPT,Matakawau Point Playground Toilets
12559,TNSBR,Sunkist Bay Reserve Toilets
13289,TNA3,Nature Trail
13393,TNWBR,Waiti Bay Reserve
13782,TNOSP,Opaheke Sports Park
14162,TWHKONBT,Oneroa Beach Reserve Toilet (Raw)
14867,TNMMB,Mahurangi West Mita Bay
15615,TNMPRT,Matakawau Pt Reserve Toilets
15628,TTMUL,Te Muri Upper Livestock
16238,TNSLT,Scotts Landing Toilets
17153,TNLB1,Long Bay Tank
17687,TNWN10,Whangateau Non-potable Tank (10K)
17748,TNBLT,Beachlands Library
17830,TWHKMRT,Matapana Reserve Toilet
17858,TWHKOTB,Onetangi Beach Toilet (Raw)
18068,TWHKLONT,Little Oneroa Toilet Block (Raw)
18648,TWHKPBT,Palm Beach Reserve Toilet (Raw)
18779,TTAW1,Tawharanui West
19298,TNTBT,Tapapakanga - Beachfront
19469,TNME1,Mahurangi East - Tank 1
110066,TNBCH,Barr Cottage
110080,TNPRT,Puhinui Reserve Toilet Block
110236,TNTTH,Te Toro Hall
110275,TNCBR,Campbells Beach Reserve
111112,TWHKPRT,Putiki Reserve Toilet
112427,TTWCH,Taw Cactus Hill
112924,TNML,Maraetai Library
114014,TNGRT,Gap Rd Reserve Toilets
114039,TNPKT,Project K
114641,TNHun1,Hunua Netball Hall
114726,TWHKSFVT,Surfdale Village Toilet
114916,TNDR2,Te Whetuki House
115112,TNSHL,Shakespear Livestock
115183,TWHKKPT,Kennedy Point Toilet
115552,TNAH,Awhitu Hall
115769,TNKBH,Kawakawa Bay Hall
115985,TNWRP,Waitawa Park
116361,TNKHRT,Hingaia Reserve Toilets
116752,TNAWP,Awhitu Tank C
117062,TNHFL,Hunua Falls Lodge
117151,TTMLL,Te Muri Lower Livestock
118112,TNKSP1,Shakespear Stock Water
119162,TTWTT,Taw Treatment Tank
119517,TNKCRT,Coulthards Reserve Toilet
119629,TNCCH,Hunua Contractor House (Cosseys)
120031,TNTAT,Te Arai Toilets
120039,TWHKBPT,Blackpool Reserve Public Toilets
120798,TNMCH,Maraetai Community Hall
120962,TWHKHRPT,Homersham Reserve Public Toilet
121393,TNOPBT,Orere Pt Beach Reserve Toilet
121539,TNA4,Slip Track
121946,TNGRR,Glenbrook Reserve Tank (Raw)
121970,TNP1,Piha Kitekite Inbound
122115,TTMUP,Te Muri Upper Potable
122727,TWHKBCH,Blackpool School Community Hall
122975,TNSRP,Scandrett Regional Park
122981,TNKBBR,Kawakawa Bay Boat Ramp
123681,TNBWM,Beachlands War Memorial Hall
123762,TNPL,Pae O Te Rangi Lower
124028,TNWCH,Whitford Community Hall
124381,TNP2,Piha Kitekite Outbound
124541,TWHKMW,Matiatia Wharf
124785,TWHKLIB,Waiheke Library
125115,TWHKB1,Waiheke Backpackers (Treated)
125167,TNME2,Mahurangi East - Tank 2
125271,TNMNTB,Maraetai North Toilet Block
135126,TNDF1,Duders Upper Tank
137136,TNPU,Pae O Te Rangi Upper
141176,TNPSC,Puhoi Reserve Toilets
142132,TNAUC,Atiu Creek Pumphouse Untreated Tank
144108,TWHKA,Artworks
147172,TNKMH,Matakawau Hall
159122,TNMDT,MD Tank
162122,TNKKK1,Kaukapakapa Hall
170176,TNWRTT,Whangateau Reserve Tank (Treated)
175180,TNKKK2,Kaukapakapa Toilets
178156,TNKFT,Karamatura Farm
179114,TNBDT,Beachlands Domain Toilets
180255,TWHKRP2,Whakanewha Regional Park (Raw)
181129,TNAN2,Anawhata Lower Farm
188152,TNAC4,Atiu Creek Pumphouse Treated Tank
189118,TWHKOSP1,Onetangi Sports Pavilion (Treated)
198160,TNPH1,Puhinui Reserve
198240,TNMSTB,Maraetai South Toilet Block
1100157,TNKRR,Karaka Recreation Reserve
1102149,TNOPL,Orere Pt Library
1107118,TNBBRT,Baddeleys Beach Reserve Toilets
1113184,TNAC1,Atiu Creek Clearfell Tank
1116151,TNDTB1,Duder Toilet Block (Raw)
1124136,TNWPH,Whitford Pavilion Hall
1125133,TWHKMTT,Matiatia Timber Tank
1127117,TRP1,Te Rau Puriri Farm
1128116,TTMTB,Te Muri Lower Tank B
1132129,TWHKONRT,Oneroa Bus Stop Reserve Toilets
1132149,TNPWF,Point Wells Foreshore
1134113,TNWP30,Whangateau Potable Tank (30K)
1138110,TNTST,Tapapakanga - Seaview
1141134,TNHFO,Hunua Falls Outfeed
1145160,TNWPDT,Waiau Pa Domain Toilet
1148114,TWHKSBT,Sandy Bay Toilet
1149115,TNMBT,Magazine Bay Toilet Block
1154158,TNAC3,Atiu Creek Livestock Tank 2
1155151,TNKWPH,Waiau Pa Hall
1155158,TWHKSR,Surfdale Reserve
1159122,TNDTB2,Duder Toilet Block (Treated)
1171130,TWHKCAB,Waiheke Citizens Advice Office
1172162,TNBBNP,Bethells Beach Non-potable
