count,date,timestamp,node,hop1,hop2,hop3,hop4,hop5,hop6
41884,3/10/2025, 15:01:15 GMT+13,STB1,SM7Matakana,,,,,
19733,3/10/2025, 14:10:17 GMT+13,TNPS4,RPAKS,TTGW211,,,,
19714,11/09/2025, 11:33:19 GMT+12,121539,TTGW211,,,,,
18543,11/09/2025, 11:47:27 GMT+12,1920,TTGW211,,,,,
18275,11/09/2025, 11:22:00 GMT+12,13289,TTGW211,,,,,
17829,3/10/2025, 14:26:13 GMT+13,RPAKS,TTGW211,,,,,
17740,18/09/2025, 11:46:06 GMT+12,ST2H,RP2HU,TTGWHunua,,,,
17711,3/10/2025, 15:53:12 GMT+13,STB4,TTGWHunua,,,,,
17503,3/10/2025, 16:00:39 GMT+13,STAH,RP1H,ELGW001,,,,
17445,3/10/2025, 15:41:16 GMT+13,STGH,RP1H,ELGW001,,,,
16893,3/10/2025, 15:56:52 GMT+13,ST2C,RP2FR,ELGW003,,,,
16845,18/09/2025, 11:46:23 GMT+12,ST1H,RP2HU,TTGWHunua,,,,
16812,3/10/2025, 15:55:15 GMT+13,STAW,RP2FR,ELGW003,,,,
16471,11/09/2025, 11:51:29 GMT+12,110236,TTGW211,,,,,
16375,3/10/2025, 15:56:52 GMT+13,ST2C,RP2FR,FallsRoad,,,,
16187,26/09/2025, 12:20:31 GMT+12,WR02,WestridgeRd,,,,,
16039,3/10/2025, 15:38:29 GMT+13,STAW,RP2FR,FallsRoad,,,,
16035,10/09/2025, 13:18:28 GMT+12,137136,RPAKS,TTGW211,,,,
14612,11/09/2025, 9:52:06 GMT+12,1176112,RPAKS,TTGW211,,,,
13549,11/09/2025, 11:54:04 GMT+12,115552,RPAKS,TTGW211,,,,
12715,3/09/2025, 17:01:30 GMT+12,WR02,SM7LAB,,,,,
10917,3/10/2025, 15:57:35 GMT+13,WR02,SM7MTK2,,,,,
10892,3/10/2025, 15:50:11 GMT+13,ST2BB,RP3FR,RP2FR,ELGW003,,,
10800,11/09/2025, 11:34:53 GMT+12,147172,RPAKS,TTGW211,,,,
10462,3/10/2025, 15:50:11 GMT+13,ST2BB,RP3FR,RP2FR,FallsRoad,,,
10427,3/10/2025, 15:55:47 GMT+13,RP2WP,SM7Whatipu,,,,,
10203,3/10/2025, 15:21:23 GMT+13,RP2AC,TTGWAtiu,,,,,
10076,3/10/2025, 15:26:58 GMT+13,RP2FR,FallsRoad,,,,,
10041,16/09/2025, 13:13:26 GMT+12,RPAW1,TTGW1D,,,,,
10000,3/10/2025, 15:46:03 GMT+13,LAQ03,SM7Lib01,,,,,
9936,18/09/2025, 11:44:32 GMT+12,RP2HU,TTGWHunua,,,,,
9879,16/09/2025, 14:09:25 GMT+12,RPAW1,TTGWTitiLib,,,,,
9758,3/10/2025, 15:35:31 GMT+13,LAQ01,SM7Lib01,,,,,
9583,3/10/2025, 15:58:05 GMT+13,WR003,SM7MTK2,,,,,
9398,8/08/2025, 15:22:22 GMT+12,180255,ELGW004,,,,,
9355,8/08/2025, 13:38:59 GMT+12,114916,ELGW004,,,,,
9350,3/10/2025, 15:48:39 GMT+13,RP1DF,TTGWDuders,,,,,
9332,8/08/2025, 15:40:29 GMT+12,135126,ELGW004,,,,,
9244,3/10/2025, 15:45:05 GMT+13,RPCR1,SM7G004,,,,,
9182,3/10/2025, 15:44:45 GMT+13,STWL1,TTGWHunua,,,,,
9036,3/10/2025, 15:22:40 GMT+13,STAW,FallsRoad,,,,,
9023,11/09/2025, 11:30:06 GMT+12,1249146,RPAKS,TTGW211,,,,
8953,30/09/2025, 11:35:24 GMT+13,WR003,WestridgeRd,,,,,
8917,3/10/2025, 13:11:53 GMT+13,ST2C,RP3FR,RP2FR,FallsRoad,,,
8789,3/10/2025, 15:38:11 GMT+13,LAQ04,SM7Lib01,,,,,
8764,3/10/2025, 15:26:21 GMT+13,RPS1,SM7Shakespear,,,,,
8756,3/10/2025, 15:28:51 GMT+13,LT47,RP2WP,SM7Whatipu,,,,
8710,8/08/2025, 13:49:06 GMT+12,1208111,ELGW004,,,,,
8669,3/10/2025, 13:11:53 GMT+13,ST2C,RP3FR,RP2FR,ELGW003,,,
8625,8/08/2025, 13:52:02 GMT+12,1141,ELGW004,,,,,
8525,3/10/2025, 9:20:16 GMT+13,RPWH2,SM7Waiheke,,,,,
8504,3/10/2025, 15:30:31 GMT+13,LT48,RP2WP,SM7Whatipu,,,,
8435,3/10/2025, 15:37:13 GMT+13,LAQ02,SM7Lib01,,,,,
8205,3/10/2025, 15:47:19 GMT+13,RPTKW1,TTGWTKOW,,,,,
8190,8/08/2025, 15:32:02 GMT+12,115985,ELGW004,,,,,
8184,8/08/2025, 15:38:22 GMT+12,198240,ELGW004,,,,,
8182,3/10/2025, 16:01:25 GMT+13,TRPAQ,TTGW03,,,,,
8124,3/10/2025, 15:41:53 GMT+13,RP1H,ELGW001,,,,,
7985,3/10/2025, 15:17:17 GMT+13,RPAC924,SM7AC924,,,,,
7962,21/08/2025, 15:55:44 GMT+12,RPTR1,TTGWB1,,,,,
